ibf build data
taxo_64_n16g_k19	4364.61	16993056	99%
taxo_64_n16g_k20	4373.64	16993120	99%
taxo_64_n32g_k19	4779.56	33770340	98%
taxo_64_n32g_k20	4707.00	33770244	98%
taxo_256_n16g_k19	4375.66	16982680	99%
taxo_256_n16g_k20	4442.81	16982624	98%
taxo_256_n32g_k19	4793.92	33759888	98%
taxo_256_n32g_k20	4691.56	33759768	98%
taxo_1024_n16g_k19	4359.68	16951256	99%
taxo_1024_n16g_k20	4384.91	16951380	99%
taxo_1024_n32g_k19	4683.51	33728500	98%
taxo_1024_n32g_k20	4686.72	33728428	98%
ibfdate data
taxo_64_n16g_k19	375.47	16872564	95%
taxo_64_n16g_k20	377.34	16872556	94%
taxo_64_n32g_k19	501.23	33649708	87%
taxo_64_n32g_k20	500.76	33649780	87%
taxo_256_n16g_k19	350.81	16874332	94%
taxo_256_n16g_k20	361.16	16874292	92%
taxo_256_n32g_k19	476.37	33651504	86%
taxo_256_n32g_k20	475.43	33651552	86%
taxo_1024_n16g_k19	262.99	16841936	92%
taxo_1024_n16g_k20	261.19	16841936	92%
taxo_1024_n32g_k19	374.30	33619508	84%
taxo_1024_n32g_k20	374.79	33619144	84%
ibf apply data RES
taxo_64_n16g_k19	2391.86	16829496	99%
taxo_64_n16g_k20	2400.97	16829512	99%
taxo_64_n32g_k19	2486.32	33606820	97%
taxo_64_n32g_k20	2441.17	33606760	98%
taxo_256_n16g_k19	3060.95	16831116	99%
taxo_256_n16g_k20	3014.84	16831104	99%
taxo_256_n32g_k19	2894.98	33608308	98%
taxo_256_n32g_k20	2963.19	33608424	98%
taxo_1024_n16g_k19	5731.16	16840640	99%
taxo_1024_n16g_k20	5417.98	16840712	99%
taxo_1024_n32g_k19	4541.91	33617864	99%
taxo_1024_n32g_k20	4467.59	33617816	99%
ibf apply data Number of reads:
taxo_64_n16g_k19	4e+07
taxo_64_n16g_k20	4e+07
taxo_64_n32g_k19	4e+07
taxo_64_n32g_k20	4e+07
taxo_256_n16g_k19	4e+07
taxo_256_n16g_k20	4e+07
taxo_256_n32g_k19	4e+07
taxo_256_n32g_k20	4e+07
taxo_1024_n16g_k19	4e+07
taxo_1024_n16g_k20	4e+07
taxo_1024_n32g_k19	4e+07
taxo_1024_n32g_k20	4e+07
ibf apply data Avg reads per bin:
taxo_64_n16g_k19	293742
taxo_64_n16g_k20	297430
taxo_64_n32g_k19	286261
taxo_64_n32g_k20	289078
taxo_256_n16g_k19	99103
taxo_256_n16g_k20	101524
taxo_256_n32g_k19	96337.1
taxo_256_n32g_k20	98175.8
taxo_1024_n16g_k19	47832.6
taxo_1024_n16g_k20	49888.1
taxo_1024_n32g_k19	45525.9
taxo_1024_n32g_k20	46901
ibf apply data Filter loading time:
taxo_64_n16g_k19	16.6591
taxo_64_n16g_k20	17.0734
taxo_64_n32g_k19	76.6485
taxo_64_n32g_k20	65.1306
taxo_256_n16g_k19	33.1014
taxo_256_n16g_k20	16.7593
taxo_256_n32g_k19	65.0702
taxo_256_n32g_k20	65.1335
taxo_1024_n16g_k19	16.6127
taxo_1024_n16g_k20	16.7807
taxo_1024_n32g_k19	65.1233
taxo_1024_n32g_k20	65.1138
ibf apply data Filter reads time:
taxo_64_n16g_k19	2308.32
taxo_64_n16g_k20	2317.08
taxo_64_n32g_k19	2317.09
taxo_64_n32g_k20	2282.65
taxo_256_n16g_k19	2959.09
taxo_256_n16g_k20	2929.81
taxo_256_n32g_k19	2735.5
taxo_256_n32g_k20	2802.72
taxo_1024_n16g_k19	5627.74
taxo_1024_n16g_k20	5315.33
taxo_1024_n32g_k19	4364.04
taxo_1024_n32g_k20	4290.71
